Ward,Average Individual Income,Greater than Toronto Unemployment,Unemployment Rate,Average Household Income,Employed,Not in the Labour force,Unemployed,Source
1,Low,FALSE,0.106,73374,0.54,0.4,0.06,https://www.toronto.ca/wp-content/uploads/2018/09/8f33-City_Planning_2016_Census_Profile_2018_25Wards_Ward01.pdf
2,Mid,FALSE,0.072,128448,58%,37%,5%,https://www.toronto.ca/wp-content/uploads/2018/09/8f45-City_Planning_2016_Census_Profile_2018_25Wards_Ward02.pdf
3,Mid,TRUE,0.068,105994,0.64,0.31,0.05,https://www.toronto.ca/wp-content/uploads/2018/09/96e3-City_Planning_2016_Census_Profile_2018_25Wards_Ward03.pdf
4,Mid,TRUE,0.068,99784,0.67,0.28,0.05,https://www.toronto.ca/wp-content/uploads/2018/09/8f6b-City_Planning_2016_Census_Profile_2018_25Wards_Ward04.pdf
5,Low,FALSE,0.094,67954,0.56,0.39,0.06,https://www.toronto.ca/wp-content/uploads/2018/09/96e6-City_Planning_2016_Census_Profile_2018_25Wards_Ward05.pdf
6,Mid,TRUE,0.067,87794,0.65,0.31,0.05,https://www.toronto.ca/wp-content/uploads/2018/07/990b-City_Planning_2016_Census_Profile_2018_Wards_Ward06.pdf
7,Low,FALSE,0.11,65458,0.52,0.42,0.06,https://www.toronto.ca/wp-content/uploads/2018/09/974e-City_Planning_2016_Census_Profile_2018_25Wards_Ward07.pdf
8,Mid,FALSE,0.075,162674,0.61,0.34,0.05,https://www.toronto.ca/wp-content/uploads/2018/09/8f27-City_Planning_2016_Census_Profile_2018_25Wards_Ward08.pdf
9,Low,FALSE,0.071,80807,0.65,0.3,0.05,https://www.toronto.ca/wp-content/uploads/2018/09/96e8-City_Planning_2016_Census_Profile_2018_25Wards_Ward09.pdf
10,Mid,TRUE,0.051,103047,0.77,0.19,0.04,https://www.toronto.ca/wp-content/uploads/2018/09/96c2-City_Planning_2016_Census_Profile_2018_25Wards_Ward10.pdf
11,High,FALSE,0.074,170832,0.63,0.32,0.05,https://www.toronto.ca/wp-content/uploads/2018/09/8f14-City_Planning_2016_Census_Profile_2018_25Wards_Ward11.pdf
12,High,TRUE,0.063,155470,0.65,0.3,0.04,https://www.toronto.ca/wp-content/uploads/2018/09/8f7b-City_Planning_2016_Census_Profile_2018_25Wards_Ward12.pdf
13,Mid,FALSE,0.088,75382,0.64,0.3,0.06,https://www.toronto.ca/wp-content/uploads/2018/09/8f4b-City_Planning_2016_Census_Profile_2018_25Wards_Ward13.pdf
14,Mid,TRUE,0.068,101323,0.65,0.31,0.05,https://www.toronto.ca/wp-content/uploads/2018/09/96f6-City_Planning_2016_Census_Profile_2018_25Wards_Ward14.pdf
15,Mid,TRUE,0.065,148210,0.65,0.31,0.05,https://www.toronto.ca/wp-content/uploads/2018/07/994e-City_Planning_2016_Census_Profile_2018_Wards_Ward15.pdf
16,Mid,FALSE,0.093,80648,0.55,0.4,0.06,https://www.toronto.ca/wp-content/uploads/2018/09/8f8b-City_Planning_2016_Census_Profile_2018_25Wards_Ward16.pdf
17,Mid,FALSE,0.09,87491,0.55,0.4,0.05,https://www.toronto.ca/wp-content/uploads/2018/09/96e2-City_Planning_2016_Census_Profile_2018_25Wards_Ward17.pdf
18,Mid,FALSE,0.086,87416,0.55,0.4,0.05,https://www.toronto.ca/wp-content/uploads/2018/09/96ff-City_Planning_2016_Census_Profile_2018_25Wards_Ward18.pdf
19,Mid,TRUE,0.054,106032,0.74,0.22,0.04,https://www.toronto.ca/wp-content/uploads/2018/07/9145-City_Planning_2016_Census_Profile_2018_Wards_Ward19.pdf
20,Low,FALSE,0.098,78561,0.56,0.38,0.06,https://www.toronto.ca/wp-content/uploads/2018/09/8758-City_Planning_2016_Census_Profile_2018_25Wards_Ward20.pdf
21,Mid,TRUE,0.058,102199,0.71,0.24,0.04,https://www.toronto.ca/wp-content/uploads/2018/07/98f5-City_Planning_2016_Census_Profile_2018_Wards_Ward21.pdf
22,Low,FALSE,0.099,75768,0.5,0.44,0.06,https://www.toronto.ca/wp-content/uploads/2018/09/96ba-City_Planning_2016_Census_Profile_2018_25Wards_Ward22.pdf
23,Low,FALSE,0.099,78984,0.52,0.42,0.06,https://www.toronto.ca/wp-content/uploads/2018/09/9743-City_Planning_2016_Census_Profile_2018_25Wards_Ward23.pdf
24,Low,FALSE,0.111,72289,0.52,0.42,0.06,https://www.toronto.ca/wp-content/uploads/2018/09/8f23-City_Planning_2016_Census_Profile_2018_25Wards_Ward24.pdf
25,Low,FALSE,0.089,99715,0.57,0.37,0.06,https://www.toronto.ca/wp-content/uploads/2018/09/9708-City_Planning_2016_Census_Profile_2018_25Wards_Ward25.pdf
